lon,lat,NREdom/PREdom,MAT,MAP,T_seasonality,P_seasonality,pH,CEC,Clay,Ndep,GPP,NDVI,VegeType,,,
18.82 ,68.35 ,1.53 ,1.3 ,352,779.1 ,44.0 ,56,19,11,1.3 ,5222 ,1894,1,,,0.425267735
-147.80 ,65.90 ,1.49 ,-3.0 ,400,1406.7 ,55.4 ,56,40,9,0.7 ,6412 ,5738,1,,,0.39877612
-147.80 ,65.90 ,1.47 ,-3.0 ,400,1406.7 ,55.4 ,56,40,9,0.7 ,6412 ,5738,1,,,0.385262401
100.25 ,64.32 ,1.05 ,-9.1 ,371,1866.9 ,54.8 ,53,40,14,0.8 ,4319 ,3414,1,,,0.048790164
-152.30 ,63.90 ,1.06 ,-3.0 ,400,1386.4 ,75.7 ,54,26,10,0.7 ,4685 ,3829,1,,,0.058268908
-152.30 ,63.90 ,1.53 ,-3.0 ,400,1386.4 ,75.7 ,54,26,10,0.7 ,4685 ,3829,1,,,0.425267735
16.50 ,60.82 ,1.54 ,3.8 ,720,751.5 ,29.0 ,47,18,8,4.9 ,9834 ,7037,1,,,0.431782416
24.07 ,54.75 ,1.20 ,6.5 ,650,826.5 ,28.6 ,65,16,15,10.1 ,9502 ,5939,1,,,0.182321557
121.50 ,50.93 ,1.67 ,-5.4 ,500,1572.3 ,113.0 ,59,39,18,3.8 ,6389 ,4557,1,,,0.512823626
-3.70 ,50.35 ,0.90 ,10.5 ,1000,391.4 ,29.3 ,58,15,20,10.4 ,15025 ,5886,1,,,-0.105360516
4.62 ,47.66 ,0.90 ,10.0 ,782,615.7 ,10.6 ,72,23,29,14.5 ,11079 ,7167,1,,,-0.105360516
3.24 ,47.41 ,0.81 ,10.2 ,829,600.4 ,10.9 ,68,19,30,13.9 ,12121 ,6956,1,,,-0.210721031
-83.73 ,46.70 ,0.79 ,4.5 ,950,1079.6 ,18.6 ,50,28,13,6.5 ,10971 ,6223,1,,,-0.235722334
2.57 ,46.59 ,1.00 ,10.6 ,857,585.4 ,15.7 ,68,18,25,14.0 ,12468 ,7373,1,,,0
81.27 ,46.45 ,0.73 ,4.5 ,950,1215.5 ,28.7 ,71,17,16,2.7 ,5316 ,3836,1,,,-0.314710745
11.83 ,46.35 ,1.24 ,5.0 ,1200,619.8 ,43.5 ,51,26,13,15.1 ,7539 ,6962,1,,,0.21511138
4.96 ,46.24 ,0.69 ,7.1 ,1512,655.2 ,15.5 ,59,14,23,14.3 ,21566 ,6804,1,,,-0.371063681
3.82 ,46.09 ,1.04 ,8.7 ,1080,578.8 ,19.0 ,49,19,18,14.6 ,14615 ,7735,1,,,0.039220713
-75.83 ,45.67 ,1.40 ,6.0 ,944,1151.0 ,13.6 ,52,22,10,8.7 ,13018 ,5913,1,,,0.336472237
5.03 ,45.53 ,0.69 ,7.4 ,1303,648.4 ,20.6 ,60,14,20,13.3 ,14842 ,6755,1,,,-0.371063681
127.53 ,45.38 ,0.79 ,2.8 ,750,1432.0 ,106.9 ,58,32,24,15.5 ,8358 ,4942,1,,,-0.235722334
-78.17 ,45.33 ,0.81 ,4.5 ,950,1094.6 ,15.5 ,50,26,12,8.0 ,10866 ,6357,1,,,-0.210721031
6.61 ,44.84 ,0.86 ,4.6 ,854,603.3 ,19.2 ,61,22,15,10.6 ,10292 ,5525,1,,,-0.15082289
1.08 ,44.76 ,0.78 ,11.7 ,864,549.4 ,13.7 ,65,19,26,11.2 ,17105 ,7675,1,,,-0.248461359
123.75 ,44.75 ,1.05 ,5.5 ,349,1455.1 ,122.0 ,84,16,22,17.9 ,4872 ,3011,2,,,0.048790164
87.93 ,44.28 ,0.82 ,6.6 ,160,1566.0 ,36.3 ,87,13,21,4.2 ,3706 ,2301,1,,,-0.198450939
10.40 ,44.23 ,1.13 ,2.0 ,1500,581.8 ,27.2 ,57,27,21,14.5 ,13008 ,6772,1,,,0.122217633
116.48 ,44.17 ,1.02 ,0.6 ,346,1502.3 ,112.5 ,83,15,21,6.0 ,2811 ,3112,2,,,0.019802627
2.37 ,44.16 ,0.85 ,9.6 ,1197,589.0 ,15.2 ,64,15,24,11.5 ,15511 ,7148,1,,,-0.162518929
-71.30 ,44.06 ,0.96 ,8.0 ,1056,997.2 ,10.5 ,48,25,7,7.6 ,13980 ,7769,1,,,-0.040821995
116.70 ,43.63 ,1.25 ,0.3 ,345,1475.2 ,112.8 ,81,20,19,7.0 ,3938 ,3125,2,,,0.223143551
120.72 ,42.97 ,0.89 ,6.4 ,362,1342.9 ,113.1 ,83,12,14,15.2 ,3659 ,2598,1,,,-0.116533816
119.02 ,42.92 ,1.63 ,6.0 ,330,1267.6 ,116.3 ,84,14,18,12.8 ,3251 ,2628,1,,,0.488580015
122.37 ,42.71 ,1.27 ,5.9 ,496,1338.1 ,108.7 ,77,14,12,20.8 ,4961 ,3419,1,,,0.2390169
-72.18 ,42.53 ,1.29 ,9.3 ,1088,964.4 ,7.7 ,48,15,5,11.0 ,15461 ,7200,1,,,0.254642218
116.68 ,42.45 ,0.65 ,1.6 ,386,1378.0 ,112.3 ,76,20,19,11.9 ,4035 ,3136,2,,,-0.430782916
8.86 ,42.14 ,0.87 ,9.5 ,925,614.6 ,46.4 ,58,19,23,8.2 ,20674 ,7998,1,,,-0.139262067
124.91 ,41.85 ,1.14 ,4.6 ,775,1259.6 ,101.8 ,57,21,18,21.8 ,8457 ,4797,1,,,0.131028262
124.91 ,41.85 ,1.11 ,4.6 ,775,1259.6 ,101.8 ,57,21,18,21.8 ,8457 ,4797,1,,,0.104360015
2.40 ,41.80 ,0.91 ,9.5 ,870,557.7 ,19.3 ,59,21,22,8.8 ,30891 ,7664,1,,,-0.094310679
111.90 ,41.79 ,1.03 ,3.4 ,312,1335.5 ,118.7 ,82,16,20,8.8 ,2267 ,2315,2,,,0.029558802
111.88 ,41.77 ,1.02 ,3.7 ,222,1335.5 ,118.7 ,82,16,20,8.8 ,2193 ,2315,2,,,0.019802627
1.02 ,41.67 ,0.97 ,12.8 ,701,653.6 ,29.8 ,77,15,24,9.1 ,12040 ,5233,1,,,-0.030459207
-71.57 ,41.41 ,0.84 ,10.0 ,1150,857.6 ,11.4 ,49,11,6,8.7 ,19817 ,4781,1,,,-0.174353387
-5.70 ,41.00 ,0.95 ,12.5 ,650,628.2 ,39.7 ,75,15,21,6.7 ,5051 ,5045,1,,,-0.051293294
40.99 ,41.00 ,0.98 ,15.0 ,1722,647.2 ,20.4 ,53,25,23,6.5 ,15603 ,6126,1,,,-0.020202707
